alim_grp_nom_fr;alim_ssgrp_nom_fr;alim_ssssgrp_nom_fr;alim_nom_fr;Energie. Règlement UE N° 1169/2011 (kcal/100 g);Protéines. N x facteur de Jones (g/100 g);Glucides (g/100 g);Lipides (g/100 g);Viande;Riche Glucide;Riche Lipide
entrées et plats composés;salades composées et crudités;-;Taboule ou Salade de couscous, preemballe;179;4.88;23.7;6.7;false;true;false
entrées et plats composés;salades composées et crudités;-;Salade de pomme de terre a la piemontaise, preemballee;130;4.5;8.87;8.3;false;true;false
entrées et plats composés;salades composées et crudités;-;Crudite, sans assaisonnement (aliment moyen);29.9;0.94;3.07;0.7;false;true;false
entrées et plats composés;salades composées et crudités;-;Salade vegetale a base de boulgour et/ou quinoa et legumes, preemballee;168;3.79;17.4;8.3;false;true;false
entrées et plats composés;salades composées et crudités;-;Salade de chou ou Coleslaw, avec sauce, preemballee;105;0.94;5.78;8.1;false;false;true
entrées et plats composés;soupes;-;Soupe aux lentilles, preemballee a rechauffer;55;3.74;6.6;1.12;false;true;false
entrées et plats composés;soupes;-;Soupe a la volaille et aux legumes, preemballee a rechauffer;30.8;3.09;2.6;0.8;true;false;false
entrées et plats composés;soupes;-;Soupe aux legumes varies, preemballee a rechauffer;39.4;0.76;5.05;1.56;false;true;false
entrées et plats composés;soupes;-;Soupe de poissons et / ou crustaces, preemballee a rechauffer;42.8;3.45;2.88;1.79;true;false;false
entrées et plats composés;soupes;-;Soupe aux legumes varies, deshydratee reconstituee;34.5;0.86;4.43;1.22;false;true;false
entrées et plats composés;soupes;-;Soupe aux poireaux et pommes de terre, preemballee a rechauffer;37.1;0.79;4.46;1.51;false;true;false
entrées et plats composés;soupes;-;Soupe a la volaille et aux vermicelles, preemballee a rechauffer;30.8;1.3;3.86;1;false;true;false
entrées et plats composés;soupes;-;Bouillon de viande et legumes type pot-au-feu, prêt a consommer;4.8;0.2;0.1;0.4;false;false;true
entrées et plats composés;soupes;-;Soupe a l'oignon, preemballee a rechauffer;40.4;1.35;4.93;1.4;false;true;false
entrées et plats composés;soupes;-;Soupe aux champignons, preemballee a rechauffer;48.2;0.81;4.09;3.07;false;true;false
entrées et plats composés;soupes;-;Soupe a la carotte, preemballee a rechauffer;33.2;0.61;3.89;1.41;false;true;false
entrées et plats composés;soupes;-;Soupe a la tomate, preemballee a rechauffer;38.7;0.74;6.27;0.99;false;true;false
entrées et plats composés;soupes;-;Soupe chorba frik, a base de viande et de frik;62.9;3.75;5.4;2.5;false;true;false
entrées et plats composés;soupes;-;Soupe minestrone, preemballee a rechauffer;48.8;1.2;5.6;2;false;true;false
entrées et plats composés;soupes;-;Soupe au pistou, deshydratee reconstituee;30.4;1.2;5.2;0.35;false;true;false
entrées et plats composés;soupes;-;Soupe de poissons et / ou crustaces, deshydratee reconstituee;29;0.91;5.09;0.5;false;true;false
entrées et plats composés;soupes;-;Soupe asiatique, avec pates, deshydratee reconstituee;29.8;0.97;5.25;0.44;false;true;false
entrées et plats composés;soupes;-;Soupe marocaine, deshydratee reconstituee;34.3;1.2;5.77;0.55;false;true;false
entrées et plats composés;soupes;-;Soupe aux poireaux et pommes de terre, deshydratee reconstituee;26.1;0.63;4.84;0.41;false;true;false
entrées et plats composés;soupes;-;Soupe a la volaille et aux legumes, deshydratee reconstituee;27.3;0.99;4.58;0.44;false;true;false
entrées et plats composés;soupes;-;Bouillon de boeuf, deshydrate reconstitue;9.05;0.6;1.33;0.15;false;true;false
entrées et plats composés;soupes;-;Soupe aux asperges, deshydratee reconstituee;35.3;0.6;5.14;1.31;false;true;false
entrées et plats composés;soupes;-;Soupe a la tomate et aux vermicelles, preemballee a rechauffer;37.7;1.1;5.87;0.8;false;true;false
entrées et plats composés;soupes;-;Soupe aux cereales et aux legumes, deshydratee reconstituee;47.8;1.4;6.8;1.4;false;true;false
entrées et plats composés;soupes;-;Soupe a la tomate, deshydratee reconstituee;36.2;0.76;5.79;0.97;false;true;false
entrées et plats composés;soupes;-;Soupe aux champignons, deshydratee reconstituee;37.8;0.65;4.37;1.79;false;true;false
entrées et plats composés;soupes;-;Soupe a l'oignon, deshydratee reconstituee;24;0.58;4.37;0.4;false;true;false
entrées et plats composés;soupes;-;Soupe au potiron, preemballee a rechauffer;35.9;0.67;4.13;1.56;false;true;false
entrées et plats composés;soupes;-;Bouillon de volaille, deshydrate reconstitue;5.58;0.6;0.5;0.13;true;false;false
entrées et plats composés;soupes;-;Bouillon de legumes, deshydrate reconstitue;5.38;0.34;0.65;0.16;false;true;false
entrées et plats composés;soupes;-;Soupe a la tomate et aux vermicelles, deshydratee reconstituee;21.6;0.63;4.21;0.18;false;true;false
entrées et plats composés;soupes;-;Soupe a la volaille et aux vermicelles, deshydratee reconstituee;21.3;0.75;3.87;0.25;false;true;false
entrées et plats composés;soupes;-;Soupe au pistou, preemballee a rechauffer;31.9;2;4.1;0.5;false;true;false
entrées et plats composés;soupes;-;Soupe au potiron, deshydratee reconstituee;38.3;0.79;5.61;1.24;false;true;false
entrées et plats composés;soupes;-;Soupe asiatique, avec pates, preemballee a rechauffer;22.3;0.7;3.4;0.5;false;true;false
entrées et plats composés;soupes;-;Soupe minestrone, deshydratee reconstituee;31.3;1.14;5.53;0.34;false;true;false
entrées et plats composés;soupes;-;Soupe au cresson, deshydratee reconstituee;25.1;0.42;3.95;0.8;false;true;false
entrées et plats composés;soupes;-;Soupe au cresson, preemballee a rechauffer;34;1;5.4;0.8;false;true;false
entrées et plats composés;soupes;-;Soupe aux legumes avec fromage, preemballee a rechauffer;50.2;1.34;5.09;2.51;false;true;false
entrées et plats composés;soupes;-;Soupe aux legumes verts, preemballee a rechauffer;33.4;1;3.84;1.32;false;true;false
entrées et plats composés;soupes;-;Soupe aux legumes verts, deshydratee reconstituee;34.8;0.72;5.31;1.07;false;true;false
entrées et plats composés;soupes;-;Soupe aux pois casses, preemballee a rechauffer;56.7;2.68;6.25;1.98;false;true;false
entrées et plats composés;soupes;-;Soupe froide type Gaspacho ou Gazpacho, preemballee;32.8;0.65;3.38;1.62;false;true;false
entrées et plats composés;soupes;-;Soupe aux asperges, preemballee a rechauffer;133;4.6;4.7;10.4;false;false;true
entrées et plats composés;soupes;-;Soupe (aliment moyen);37.4;1.27;4.5;1.37;false;true;false
entrées et plats composés;soupes;-;Soupe miso, deshydratee reconstituee;17.1;1.38;2.18;0.5;false;true;false
entrées et plats composés;plats composés;plats de viande sans garniture;Tripes a la mode de Caen;116;20.4;0.3;3.68;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Tripes a la mode de Caen, preemballees;112;18.4;0.7;3.62;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Tripes a la tomate ou a la provencale;94.1;15.7;0.6;3.2;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Blanquette de veau;113;15.4;3.1;4;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Boeuf bourguignon;84.6;8.93;4.17;3.3;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Canard en sauce (poivre vert, chasseur, etc.), preemballe;145;9.55;10.2;7.3;false;true;false
entrées et plats composés;plats composés;plats de viande sans garniture;Lapin a la moutarde, preemballe;108;14.9;0.5;5;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Coq au vin;133;13;4;7;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Paupiette de veau;193;14.5;2.6;13.8;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Paupiette de volaille;164;23.9;8.8;3.4;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Viande en sauce (aliment moyen);104;11.3;3.65;4.6;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Poulet au curry et au lait de coco;124;10.6;3.15;6.9;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Meloukhia, plat a base de boeuf et corete, fait maison;189;10.6;1.2;14.7;false;false;true
entrées et plats composés;plats composés;plats de viande sans garniture;Palette a la diable, preemballee;120;13.5;2.08;6.07;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Langue de boeuf sauce madere, preemballee;180;9.5;4.5;13.5;false;false;true
entrées et plats composés;plats composés;plats de viande sans garniture;Porc au caramel, preemballe;136;10;11.4;5.4;false;true;false
entrées et plats composés;plats composés;plats de viande sans garniture;Boulettes au boeuf, a la sauce tomate, preemballees;117;9;5.5;6.5;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Paupiette de veau, preemballee,  cuite au four;276;22;0.48;20.5;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Carpaccio de boeuf, avec marinade;271;15.2;0.55;23;false;false;true
entrées et plats composés;plats composés;plats de viande sans garniture;Yakitori (brochettes japonaises grillees en sauce);172;26;9.3;3.3;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Brochette de boeuf, cuite;139;21.9;0.33;5.2;true;false;false
entrées et plats composés;plats composés;plats de viande sans garniture;Brochette de volaille, cuite;137;23.1;1.39;4;true;false;false
entrées et plats composés;plats composés;plats de viande et féculents;Hachis parmentier a la viande, preemballe;138;5.99;9.39;8.22;false;true;false
entrées et plats composés;plats composés;plats de viande et féculents;Couscous au mouton;149;8.31;12.2;7.2;false;true;false
entrées et plats composés;plats composés;plats de viande et féculents;Couscous a la viande ou au poulet, preemballe, allege;90.7;5.9;11.5;1.9;false;true;false
entrées et plats composés;plats composés;plats de viande et féculents;Poêlee de pommes de terre prefrites, lardons ou poulet, et autres, sans legumes verts, preemballee;168;3.2;16.2;9.6;false;true;false
entrées et plats composés;plats composés;plats de viande et féculents;Couscous royal (avec plusieurs viandes), preemballe;132;7.69;14;4.53;false;true;false
entrées et plats composés;plats composés;plats de viande et féculents;Couscous au poulet;130;7.5;15.6;3.85;false;true;false
entrées et plats composés;plats composés;plats de viande et féculents;Couscous a la viande, preemballe;128;7.59;12.5;4.73;false;true;false
entrées et plats composés;plats composés;plats de viande et féculents;Parmentier de canard, preemballe;146;6.82;8.51;9.06;false;false;true
entrées et plats composés;plats composés;plats de viande et féculents;Parmentier de canard, preemballe, cuit;168;7;10.5;10.2;false;true;false
entrées et plats composés;plats composés;plats de viande et légumes/légumineuses;Cassoulet, appertise;129;8.06;9.41;5.77;false;true;false
entrées et plats composés;plats composés;plats de viande et légumes/légumineuses;Choucroute garnie, preemballee;109;5.06;2.8;8.06;false;false;true
entrées et plats composés;plats composés;plats de viande et légumes/légumineuses;Petit sale ou saucisse aux lentilles, preemballe;118;8.24;8.89;4.87;false;true;false
entrées et plats composés;plats composés;plats de viande et légumes/légumineuses;Pot-au-feu, preemballe;77.5;10.9;3.2;2.02;true;false;false
entrées et plats composés;plats composés;plats de viande et légumes/légumineuses;Boeuf aux carottes;96.6;13.2;3.3;3.15;true;false;false
entrées et plats composés;plats composés;plats de viande et légumes/légumineuses;Potee auvergnate (chou et porc);82.1;6;3.7;4.3;true;false;false
entrées et plats composés;plats composés;plats de viande et légumes/légumineuses;Cassoulet au porc, appertise;132;8.3;8.6;6.3;false;true;false
entrées et plats composés;plats composés;plats de viande et légumes/légumineuses;Cassoulet au canard ou oie, appertise;161;10.5;10.1;7.86;true;false;false
entrées et plats composés;plats composés;plats de viande et légumes/légumineuses;Tomate farcie;122;5.49;2;9.67;false;false;true
entrées et plats composés;plats composés;plats de viande et légumes/légumineuses;Chou farci, preemballe;94.9;5.3;2;6.6;false;false;true
entrées et plats composés;plats composés;plats de viande et légumes/légumineuses;Chili con carne, preemballe;118;7.13;13;3.35;false;true;false
entrées et plats composés;plats composés;plats de viande et légumes/légumineuses;Moussaka;147;5.82;5.16;10.8;false;false;true
entrées et plats composés;plats composés;plats de viande et légumes/légumineuses;Navarin d'agneau aux legumes;133;8.05;5;8.61;false;false;true
entrées et plats composés;plats composés;plats de viande et légumes/légumineuses;Tajine de mouton;132;12.8;4.5;6.83;true;false;false
entrées et plats composés;plats composés;plats de viande et légumes/légumineuses;Osso buco;96.7;11.2;3.5;4.08;true;false;false
entrées et plats composés;plats composés;plats de viande et légumes/légumineuses;Poulet basquaise, preemballe;107;9.3;2.5;6.4;true;false;false
entrées et plats composés;plats composés;plats de viande et légumes/légumineuses;Tajine de poulet, preemballe;127;7.54;14.4;3.7;false;true;false
entrées et plats composés;plats composés;plats de viande et légumes/légumineuses;Chop suey (porc ou poulet), preemballe;78.2;5;7.8;3;false;true;false
entrées et plats composés;plats composés;plats de viande et légumes/légumineuses;Legumes farcis (sauf tomate);69.8;6.4;3.6;3;true;false;false
entrées et plats composés;plats composés;plats de poisson sans garniture;Moules marinieres (oignons et vin blanc);92;10.3;7.43;2.24;true;false;false
entrées et plats composés;plats composés;plats de poisson sans garniture;Moules farcies (matiere grasse, persillade…), preemballees, crues;284;9.56;4.43;24.8;false;false;true
entrées et plats composés;plats composés;plats de poisson sans garniture;Gratin ou cassolette de poisson et / ou fruits de mer,  preemballe, cru;105;6.13;8.39;5.1;false;true;false
entrées et plats composés;plats composés;plats de poisson sans garniture;Gratin ou cassolette de poisson et / ou fruits de mer, preemballe, cuit;117;6.69;5.28;7.5;false;false;true
entrées et plats composés;plats composés;plats de poisson sans garniture;Saumon a l'oseille, preemballe;133;8.36;7.43;7.65;true;false;false
entrées et plats composés;plats composés;plats de poisson sans garniture;Poisson blanc a la bordelaise, preemballe;176;14.8;5.3;10.4;true;false;false
entrées et plats composés;plats composés;plats de poisson sans garniture;Poisson blanc a la provencale ou nicoise (sauce tomate), preemballe;75.2;9.31;3.1;2.3;true;false;false
entrées et plats composés;plats composés;plats de poisson sans garniture;Poisson blanc a la florentine (sauce aux epinards), preemballe;100;11.4;2.9;4.35;true;false;false
entrées et plats composés;plats composés;plats de poisson sans garniture;Poisson blanc a la mariniere (sauce aux oignons, vin blanc, moules), preemballe;80;11.5;2.2;2.8;true;false;false
entrées et plats composés;plats composés;plats de poisson sans garniture;Poisson blanc a la sauce moutarde, preemballe;90.8;9.2;5.4;3.6;true;false;false
entrées et plats composés;plats composés;plats de poisson sans garniture;Poisson blanc a la parisienne (sauce aux champignons), preemballe;79.9;9.16;3;3.25;true;false;false
entrées et plats composés;plats composés;plats de poisson sans garniture;Poisson blanc a l'estragon, preemballe;77.2;8.8;4.2;2.8;true;false;false
entrées et plats composés;plats composés;plats de poisson sans garniture;Poisson blanc sauce oseille, preemballe;114;11.8;3.9;5.5;true;false;false
entrées et plats composés;plats composés;plats de poisson sans garniture;Saumon farci, preemballe;227;18.8;0.4;16.2;true;false;false
entrées et plats composés;plats composés;plats de poisson sans garniture;Brochette de poisson;127;18;0.86;5.71;true;false;false
entrées et plats composés;plats composés;plats de poisson sans garniture;Brochette de crevettes;93.5;18.5;1.5;1.5;true;false;false
entrées et plats composés;plats composés;plats de poisson sans garniture;Poisson en sauce, surgele;132;13.3;3.18;7.05;true;false;false
entrées et plats composés;plats composés;plats de poisson sans garniture;Poisson cuit (aliment moyen);144;23.5;0;5.52;true;false;false
entrées et plats composés;plats composés;plats de poisson sans garniture;Poisson blanc, cuit (aliment moyen);107;22;0;2.18;true;false;false
entrées et plats composés;plats composés;plats de poisson sans garniture;Poisson blanc, de mer, cuit (aliment moyen);106;22.1;0;2;true;false;false
entrées et plats composés;plats composés;plats de poisson et féculents;Paëlla;148;7.86;17.1;4.9;false;true;false
entrées et plats composés;plats composés;plats de poisson et féculents;Couscous au poisson;105;7.5;14.2;1.6;false;true;false
entrées et plats composés;plats composés;plats de poisson et féculents;Gratin de poisson et puree ou brandade aux pommes de terre ou parmentier de poisson, preemballe;117;6.39;8.57;6.15;false;true;false
entrées et plats composés;plats composés;plats de poisson et féculents;Sushi ou Maki aux produits de la mer;171;6.69;26.9;3.7;false;true;false
entrées et plats composés;plats composés;plats de légumes/légumineuses;Poêlee de legumes assaisonnes sans champignon, surgelee, crue;81.2;2.6;12.1;1.77;false;true;false
entrées et plats composés;plats composés;plats de légumes/légumineuses;Choucroute, sans garniture, egouttee, cuite;75.3;1.38;0.1;6.6;false;false;true
entrées et plats composés;plats composés;plats de légumes/légumineuses;Falafel ou Boulette de pois-chiche et/ou feve, frite;252;8.25;18.7;14.4;false;true;false
entrées et plats composés;plats composés;plats de légumes/légumineuses;Falafel ou Boulette de pois-chiche et/ou feve, preemballe;211;7.38;17.7;10.8;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Ble dur precuit cuisine, en sachet micro-ondable;188;4.93;29.5;4.84;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Ble dur precuit, grains entiers, cuisine, a poêler;344;11.1;67.2;1.59;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Ravioli a la viande, sauce tomate, appertise;95.3;4.22;12.5;2.83;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Lasagnes ou cannelloni a la viande (bolognaise);134;6.29;13.5;5.72;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Pates a la bolognaise (spaghetti, tagliatelles…);116;5.32;13.6;4.07;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Riz cantonais;164;5.46;23.6;4.94;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Ravioli chinois a la vapeur a la crevette, cuit;190;5.5;27.8;5.5;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Gratin de pates;179;7.06;16.4;9.2;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Lasagnes ou cannellonis aux legumes, preemballees, cuits;103;2.75;11;4.85;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Pates a la carbonara (spaghetti, tagliatelles…);161;5.91;14.2;8.7;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Lasagnes ou cannellonis au poisson, preemballees;148;7.28;13;7.1;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Pates fraiches farcies (ex : raviolis, tortellinis, ravioles du Dauphine), au fromage, cuites;226;10;26.8;8.3;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Couscous de legumes, preemballe;108;4.32;16.4;2.25;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Pates fraiches farcies (ex : raviolis, tortellinis), au fromage et aux legumes, preemballees, cuites;219;7.94;27.8;7.5;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Pates fraiches farcies (ex : raviolis, totellinis), a la viande (ex : bolognaise), preemballees, crues;265;11.4;40.3;5.79;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Pates fraiches farcies (ex : raviolis, tortellinis), a la viande (ex : bolognaise), preemballees, cuites;174;6.94;25.1;4.65;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Pates fraiches farcies (ex : raviolis, tortellinis, ravioles du Dauphine), au fromage, preemballees, crues;268;11.3;37.3;7.69;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Pates fraiches farcies (ex : raviolis, tortellinis), au fromage et aux legumes, preemballees, crues;262;9.98;41.4;5.69;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Nouilles sautees/poêlees aux crevettes;104;4.88;12.6;3.4;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Riz blanc, avec poulet, preemballe, cuit;175;4.23;31.5;3.19;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Riz blanc, avec legumes et viande, preemballe, cuit;167;4.61;28.3;3.57;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Risotto, aux legumes, preemballe;120;2.74;18.4;3.8;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Risotto, aux fruits de mer, preemballe;130;5.47;12.5;6.07;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Risotto, aux fromages, preemballe;195;5.65;30.9;5.16;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Raviolis aux legumes, sauce tomate, appertises;91.1;2.88;13.5;2.45;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Pates fraiches farcies (ex : raviolis, tortellinis), aux legumes, preemballees, cuites;156;5.19;20.9;4.9;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Pates en sauce aux fromages (spaghetti, tagliatelles…), preemballees;163;7.17;15.9;7.4;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Pates fraiches farcies (ex : raviolis, tortellinis), aux legumes, preemballees, crues;255;9.4;41.4;5.06;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Pates fraiches farcies (ex : raviolis, tortellinis), cuites (aliment moyen);199;7.98;25.7;6.53;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Feuille de vigne farcie au riz ou dolmas, egouttee, preemballee;150;2.5;18.6;6.5;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Lasagnes ou cannellonis aux legumes, preemballes, cuits;122;4.38;11.8;5.9;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Lasagnes ou cannellonis aux legumes et au fromage de chevre, preemballes, cuits;179;7;14;10.2;false;true;false
entrées et plats composés;plats composés;plats de céréales/pâtes;Lasagnes ou cannellonis au fromage et aux epinards, preemballes;133;6.1;11.4;6.6;false;true;false
entrées et plats composés;plats composés;plats de fromage;Aligot (puree de pomme de terre a la tomme fraiche), preemballe;195;8.06;9.5;13.3;false;false;true
entrées et plats composés;plats composés;plats de fromage;Souffle au fromage;184;12.9;3.8;12.6;true;false;false
entrées et plats composés;plats composés;plats de fromage;Tartiflette, preemballee;161;6;13.5;8.9;false;true;false
entrées et plats composés;plats composés;plats de fromage;Gougere;399;16.2;22.7;26.6;false;false;true
entrées et plats composés;plats composés;plats de fromage;Preparation a base de fromage(s) pour fondue savoyarde, preemballee;231;16.2;2.6;17.2;false;false;true
entrées et plats composés;plats composés;plats de fromage;Fromage pane au jambon;263;17.4;15.3;14.6;true;false;false
entrées et plats composés;plats composés;plats végétariens;Tempeh;157;16.1;7.89;4.7;true;false;false
entrées et plats composés;plats composés;plats végétariens;Nuggets de ble (sans soja), preemballe;284;12.6;22.4;14.9;false;true;false
entrées et plats composés;plats composés;plats végétariens;Nuggets soja et ble (ne convient pas aux veganes ou vegetaliens), preemballe;253;14.1;18.5;12.6;false;true;false
entrées et plats composés;plats composés;plats végétariens;Nuggets soja et ble (convient aux veganes ou vegetaliens), preemballe;251;15.5;19.7;10.9;false;true;false
entrées et plats composés;plats composés;plats végétariens;Pane soja et ble (ne convient pas aux veganes ou vegetaliens);260;14.4;16.8;13.9;false;true;false
entrées et plats composés;plats composés;plats végétariens;Batonnet pane soja et ble (convient aux veganes ou vegetaliens), preemballee;245;16.9;18.8;10;false;true;false
entrées et plats composés;plats composés;plats végétariens;Escalope panee, soja, ble et fromage, type cordon bleu, preemballee;247;15.2;15.1;13.1;true;false;false
entrées et plats composés;plats composés;plats végétariens;Raviolis au tofu, a la sauce tomate, preemballes;91.7;3.13;12.5;2.7;false;true;false
entrées et plats composés;plats composés;plats végétariens;Galette de cereales au fromage (sans soja), preemballe;241;7;27.8;10.3;false;true;false
entrées et plats composés;plats composés;plats végétariens;Galette de cereales aux legumes (sans soja), preemballe;211;5.31;28;7.6;false;true;false
entrées et plats composés;plats composés;plats végétariens;Boulette vegetale au soja et/ou ble, preemballee;211;17.6;7.98;10.6;true;false;false
entrées et plats composés;plats composés;plats végétariens;Galette ou pave aux lentilles, soja et legumes, preemballe;170;9.71;16.7;5.6;false;true;false
entrées et plats composés;plats composés;plats végétariens;Galette ou pave au ble (seitan) et legumes, preemballe;208;12.5;20.8;7.1;false;true;false
entrées et plats composés;plats composés;plats végétariens;Galette ou pave au ble et soja (convient aux veganes ou vegetaliens), preemballe;215;16;8.15;11;true;false;false
entrées et plats composés;plats composés;plats végétariens;Galette ou pave au ble et soja (ne convient pas aux veganes ou vegetaliens), preemballe;201;10.2;13.3;10.2;false;true;false
entrées et plats composés;plats composés;plats végétariens;Galette ou pave au soja et fromage, preemballe;204;16.8;6.08;12;true;false;false
entrées et plats composés;plats composés;plats végétariens;Galette ou pave au soja et legumes, preemballe;175;13.1;8.36;8.1;true;false;false
entrées et plats composés;plats composés;plats végétariens;Galette ou pave au soja, fromage et legumes, preemballe;180;15.1;7.72;9.1;true;false;false
entrées et plats composés;plats composés;plats végétariens;Hache vegetal a base de soja, preemballe;143;11.5;7.01;5.8;true;false;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Pizza au fromage ou Pizza margherita, preemballee;227;8.93;29.6;7.64;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Quiche lorraine, preemballee;274;8.96;21;16.8;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Crêpe ou Galette fourree bechamel jambon, preemballee;136;5.75;18.7;4;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Crêpe ou Galette fourree bechamel jambon fromage, preemballee;182;8.83;19.1;7.5;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Crêpe ou Galette fourree bechamel champignon, preemballee;150;4.83;20.7;5.02;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Tarte aux legumes, preemballee;216;5;21.8;11.7;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Pizza jambon fromage, preemballee;218;10.3;28;6.69;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Tarte au fromage, preemballee;289;10.3;20.7;18;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Tarte a la provencale, preemballee;241;5.5;20;14.3;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Pizza a la viande, type bolognaise, preemballee;227;10.3;27.2;8.03;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Burritos;170;8;14.3;8.5;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Fajitas;158;12.7;16;4.5;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Pizza au chorizo ou salami, preemballee;248;10.4;26.5;10.7;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Pizza aux fruits de mer, preemballee;200;10.3;24.6;6.65;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Pizza au saumon, preemballee;231;10.1;26.7;8.78;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Pizza au chevre et lardons, preemballee;245;10.7;26.9;9.96;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Pizza aux legumes ou Pizza 4 saisons, preemballee;214;8.48;25.7;8;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Pizza champignons fromage, preemballee;217;7.8;31.6;6.1;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Pizza 4 fromages, preemballee;267;13.1;28.2;10.5;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Pizza (aliment moyen);233;10.7;27.3;8.39;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Pissaladiere, preemballee;284;6.4;33.8;13.1;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Tarte a l'oignon, preemballee;280;7;23.5;17.2;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Pizza jambon fromage champignons ou pizza royale, reine ou regina, preemballee;205;9.54;25.7;6.66;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Crêpe ou Galette fourree bechamel fromage, preemballee;149;6.02;17.7;5.75;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Flammenkueche ou Tarte flambee aux lardons, preemballee;300;8.81;31.8;14.8;false;true;false
entrées et plats composés;pizzas, tartes et crêpes salées;-;Crêpe ou Galette fourree bechamel jambon fromage champignon, preemballee;159;8.3;16.6;6.3;false;true;false
